PID,Section,Stage,Group,Condition,Code,Time_HH,Fear.rating,Repeat,TOAccuracy,Recall,Segment,Analytic,Clout,Authentic,Tone,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,States,Motives,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Peak_Staging,Peak_PlotProg,Peak_CogTension,Valley_Staging,Valley_PlotProg,Valley_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5,Event.Int,Place.Int,Time.Int,Perceptual.Int,Emo.Tho.Int,Event.Ext,Place.Ext,Time.Ext,Perceptual.Ext,Emo.Tho.Ext,Semantic,Repetition,Other,Internal,External,Total,Percent_Internal,ContextualScore,PerceptualBias,WordCount,Age
1002,GhostlyGrounds,Immediate,Control,Baseline,0,06:15pm,5,0,0.6,"The Ghostly Grounds was the final section of the tour. Lots of strobing lights, dead bodies hanging from the ceiling. We entered through a bus. There were a bunch of stairs we had to climb. There were cages everywhere and people kept coming out of the cages.",1,98.09,85.5,92.58,20.23,6.52,4.35,2.17,0,2.17,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,4.35,0,0,0,0,4.35,0,0,0,0,0,0,0,0,4.35,21.74,0,6.52,17.39,2.17,0,0,4.35,4.35,NA,80.15,30.69,NA,1,4,1,4,2,1,100,62.5,62.5,0,62.5,22.5,0,75,100,50,50,50,50,50,50,1,1,0,5,0,0,0,0,0,0,1,0,0,7,1,8,0.875,7,0.714285714,46,27
1002,GhostlyGrounds,Delay,Control,Baseline,0,06:15pm,5,1,0.6,"This was the final section. I remember entering via a bus and that there was a man who was very scary in the bus. The bus was dark and there were a bunch of people sitting in the bus. One of these actors suddenly started getting up. Since it was dark and there was a strobing light effect I remember being super confused and scared. As we progressed into the house, there was a lady in front of our group who kept getting targeted and that was great for me because I was able to anticipate what was about to happen. There were a bunch of cages that had people who kept trying to escape. There were a lot of stairs and cages that kept shaking.",1,52.08,72.07,72.58,6.51,3.17,1.59,1.59,0,5.56,0,5.56,2.38,2.38,0.79,0.79,0,0,1.59,4.76,1.59,3.17,2.38,0,2.38,1.59,0,0,0,7.14,0.79,0,0.79,0,0,0,7.14,0,0,0.79,0.79,0,0,1.59,0,0,0,0,0.79,0,3.17,15.08,0,1.59,11.11,2.38,0,0,1.59,3.96,39.29,76.91,-5.31,46.26,2,4,3,4,2,5,86.54,100,50,0,0,53.85,0,33.33,100,33.33,32.05,33.33,100,33.33,0,2,1,0,9,4,0,0,0,0,1,1,1,0,16,3,19,0.842105263,12,0.75,126,27
1003,Infirmary,Immediate,Control,Baseline,0,06:15pm,2,0,0.2,They had a lot of bright neon colors. We wore glasses to amplify the colors. At one point the bridge we crossed felt like it was three dimensional which made walking awkward. It was a bit frightening at times but I have difficulty remembering. Honestly the experience is a bit of a blur since I had a lot of anxiety throughout. They might have had clowns trying t frighten you .,1,79.45,72.87,24.32,1,4.29,2.86,1.43,0,14.29,0,14.29,2.86,2.86,1.43,1.43,1.43,2.86,1.43,8.57,1.43,7.14,4.29,0,4.29,4.29,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,11.43,0,2.86,1.43,5.71,0,1.43,0,4.29,44.47,46.42,15.52,71.46,4,3,4,2,1,1,66.67,0,0,100,33.33,0,0,100,0,66.67,0,50,50,100,0,2,1,0,4,1,0,0,0,0,1,0,0,2,8,3,11,0.727272727,7,0.571428571,70,30
1003,Infirmary,Delay,Control,Baseline,0,06:15pm,2,1,1,"Infirmary was very colorful, we had to wear glasses for this one. at first there was a paint room....and then Im not sure. I think I saw a big insect, then maybe some clown like things. I really just dont remember anything. Anxiety just shuts my brain down, sorry.",1,7.03,1.98,92.35,20.23,2,2,0,0,14,0,14,4,0,0,8,2,2,2,4,2,2,2,0,2,2,0,0,0,4,2,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,10,0,0,6,4,0,0,4,4,40.54,80.41,32.78,8.43,1,4,3,4,1,1,100,100,50,0,50,0,0,33.33,100,0,0,0,100,50,100,1,1,0,3,0,0,0,0,0,0,0,0,3,5,3,8,0.625,5,0.6,50,30
1003,Asylum,Delay,Control,Baseline,0,06:15pm,3,0,0.25,"So take thinrteen was the director or movie making section (I think). I remember that at the very beginning there was an actor talking on the phone something regarding a film, as to what else he said, I dont know. I really dont remember, everything is either gone or such a blur I can hardly even make any sense out of it. maybe some of my memories here are of other section, but I dont know. I think at some point we see a saw a girl? being cut up on a table. Im not sure if that was Asylum though.",1,16.49,1,98.64,20.23,1.96,0.98,0,0.98,26.47,0.98,25.49,6.86,1.96,0.98,8.82,0.98,8.82,2.94,0,0,0,0,0,0,0,0,0,0,8.82,3.92,0,0.98,0,0,2.94,4.9,0,0,0.98,0.98,0,0,1.96,0,0,0,0,0,0,7.84,10.78,0,0.98,5.88,2.94,0,0.98,1.96,7.84,25.78,-10.07,28.43,58.99,2,3,4,1,5,5,0,100,3.75,3.75,56.25,31.43,12.38,100,100,0,22.62,46.43,50,100,0,1,0,0,2,0,0,0,0,2,0,0,0,9,3,11,14,0.214285714,3,0.666666667,102,30
1003,DevilsDen,Immediate,Control,Baseline,0,06:15pm,3,0,0.6,"Devil's Den had characters with machines frightening individuals. One person crept ahead of me and pulled a saw in front of the other participant. I think there might have been characters on a table looking like they would go through surgery....but maybe that was a different one. Again, not much memory here (I actually feel a little light headedanxiety not fear).  ",1,65.54,4.4,98.81,1.4,0,0,0,0,19.35,0,19.35,3.23,0,1.61,3.23,1.61,8.06,1.61,3.23,0,3.23,3.23,0,3.23,3.23,0,0,0,6.45,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68,17.74,0,4.84,8.06,4.84,0,1.61,0,9.68,42.62,53.61,88.96,-14.69,2,3,5,5,1,1,65.71,100,37.14,37.14,0,0,54.55,100,100,60.61,0,30.77,0,66.67,100,2,0,0,4,0,0,0,0,0,1,0,0,2,6,3,9,0.666666667,6,0.666666667,62,30
1003,DevilsDen,Delay,Control,Baseline,0,06:15pm,3,1,1,"Machine shop is also blurry. I dont visually remember what happened, only the idea of it. Some guy with a chain saw was hiding in a corner when we went outside and he noticed I saw him and his intention to scare the participant ahead of me. With a shrug I moved aside and walked more slowly to give him space. Next thing, he runs past we and tries to scare the participant, but she seemed only mildly phased. Other than that, its all I remember.",1,33.73,67.32,87.35,9.15,3.49,2.33,1.16,0,12.79,1.16,11.63,5.81,1.16,0,2.33,0,3.49,2.33,3.49,1.16,2.33,2.33,0,2.33,2.33,0,0,0,13.95,1.16,0,0,0,0,0,12.79,0,0,1.16,6.98,0,0,0,0,0,0,0,1.16,0,1.16,16.28,1.16,6.98,3.49,4.65,0,0,0,2.32,-38.45,-3.81,-46.04,-65.5,3,5,5,4,3,4,17.78,80,100,0,40,85.19,33.33,0,33.33,100,70.83,25,25,0,100,8,0,0,1,0,0,0,0,0,0,0,0,4,9,4,13,0.692307692,9,0.111111111,86,30
1003,GhostlyGrounds,Delay,Control,Baseline,0,06:15pm,4,0,0.2,"It was very difficult to encode anything since I was very anxious. I think I only really remember the beginning. We entered through a bus, in which at the end there was the entrance to the building/""Ghostly Grounds"". At some point we had to go up some stairs and we could see people in cages? I think. I think this must have been the last section (I dont even remember if there were 3 or 4 sections :/). I dont know, I really dont remember anything else. I hardly remember anything at all.",1,11.71,3.08,99,1.4,3.23,3.23,0,0,25.81,1.08,24.73,8.6,1.08,3.23,6.45,4.3,4.3,4.3,3.23,0,3.23,2.15,0,2.15,1.08,0,0,0,3.23,0,0,0,0,0,0,3.23,0,0,0,0,2.15,0,0,0,0,0,0,0,0,4.3,11.83,0,2.15,9.68,1.08,0,0,2.15,4.3,-24.65,11.43,-25.56,-59.81,2,5,5,4,2,2,28,100,45.6,0,0,80.77,0,51.28,87.82,100,71.05,0,0,75,100,1,2,0,1,1,0,0,0,0,0,0,0,8,5,8,13,0.384615385,4,0.25,92,30
1004,Infirmary,Delay,Control,Baseline,0,08:30pm,1,0,0.2,I remember Infirmary containing 3D glasses and seeing images pop off the walls. It was the most colorful section in the tour. I also recall seeing someone painting the walls. At the end we saw dancers on a box and returned the glasses.,1,92.38,67.32,96.19,56.53,2.33,2.33,0,0,6.98,0,6.98,4.65,0,0,2.33,0,0,4.65,2.33,2.33,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.58,0,2.33,13.95,11.63,0,0,0,0,-4.3,-35.21,18.66,3.66,4,2,3,1,4,2,0,88.89,59.26,100,100,46.67,100,100,0,0,50,0,100,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,6,0,6,1,6,0.666666667,43,22
1004,Asylum,Immediate,Control,Baseline,0,08:30pm,1,0,0.25,Remember seeing a snake and desk with paper. I also remember seeing dentist chair. Walked over a moving platform.,1,89.52,14.81,99,20.23,0,0,0,0,10.53,0,10.53,10.53,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,0,10.53,5.26,10.53,0,0,0,0,33.06,57.97,37.55,3.66,5,3,3,3,1,2,75,75,0,75,100,0,50,100,0,0,50,0,100,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,1,4,0.75,3,1,19,22
1004,Asylum,Delay,Control,Baseline,0,08:30pm,1,1,0.75,"I recall seeing computers, and older props that seemed out dated. I do recall a room with a bed and a lady waking around the room. I remember seeing a man dressed as a detective looking at papers on a desk.",1,97.66,40.06,99,20.23,0,0,0,0,9.76,0,9.76,9.76,0,0,2.44,0,0,7.32,0,0,0,0,0,0,0,0,0,0,7.32,2.44,0,2.44,0,0,0,7.32,0,0,2.44,2.44,0,0,0,0,0,0,0,0,0,2.44,17.07,0,0,9.76,7.32,0,0,0,2.44,-26.66,-30.32,-31.4,-18.27,3,1,1,1,5,3,0,75,100,50,100,100,75,37.5,37.5,0,100,56.25,0,56.25,0,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,5,1,5,0.8,41,22
1004,DevilsDen,Delay,Control,Baseline,0,08:30pm,2,0,0.6,"I remember seeing cages, a desk, not sure if the Devil's Den included the dental equipment but I do recall seeing that. A man wielding a chainsaw.",1,75.62,1,92.16,20.23,0,0,0,0,22.22,0,22.22,7.41,0,0,11.11,0,11.11,7.41,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,3.7,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,7.41,0,0,0,0,36.61,36.32,27.28,46.24,5,4,3,4,5,5,41.67,41.67,50,0,100,27.78,55.56,33.33,100,0,83.33,83.33,100,100,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,2,5,0.6,3,1,27,22
1004,GhostlyGrounds,Immediate,Control,Baseline,0,08:30pm,2,0,0.8,Went through a bus at the beginning. Ended up going through a strobe light and seeing a false door with a hand popping up. Saw cages and robotic humanlike decoration. I remember going upstairs. At the end we went through a long hallway.,1,99,67.32,99,20.23,2.33,2.33,0,0,4.65,0,4.65,2.33,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,27.91,0,9.3,11.63,6.98,0,0,0,4.65,71.1,85.24,84.37,43.68,1,4,4,4,1,1,100,48.39,48.39,0,58.06,0,88.89,88.89,100,100,0,88.89,0,100,0,2,2,0,3,0,0,0,0,0,0,0,0,0,7,0,7,1,7,0.428571429,43,22
1004,GhostlyGrounds,Delay,Control,Baseline,0,08:30pm,2,1,0.4,"I remember entering in the bus, platform moving, cages, we went upstairs at a point and saw hanging props. I also recall a false door opening and someone attempting to grab individuals.",1,78.28,75.49,99,20.23,3.13,3.13,0,0,12.5,0,12.5,6.25,0,0,3.13,0,0,6.25,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,9.38,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,31.25,0,9.38,15.63,3.13,0,3.13,3.13,0,33.18,68.9,15.65,15,1,3,4,3,1,2,100,100,0,58.33,58.33,0,0,100,12.5,100,28.57,0,0,100,0,2,1,0,4,0,0,0,0,0,0,0,0,0,7,0,7,1,7,0.571428571,32,22
1005,Infirmary,Immediate,Role-assignment,Baseline,2,08:30pm,2,0,0.8,"A room with green lights and mist where you couldnt see under the mist and people were reaching their hands out, that went into an art room with lots of neon art on the walls and an artist. Then it went into a room with two pretty ladies dancing on tables, another woman gave us 3D glasses and we went in. There were giant spiders in the hallway, all still bright neon art on the walls. That led to a spinning area with polka dots. This went into another neon artsy kinda hallway but there were actors there this time. Then into a hallway that was like the spinning area, all dark with polka dot lights, and there was an actor that blended into the wall. That led out of there on the other side of the beginning room and the dancing ladies were dead(?) or turned off(?).",1,90.42,67.74,98.19,29.32,2.7,1.35,0,1.35,8.11,1.35,6.76,0,1.35,0.68,2.03,0,3.38,0,0.68,0.68,0,0,0,0,0,0,0,0,8.78,3.38,0,1.35,0,0,0,6.76,0,0,2.03,0,0,0,0,0,0,0,0,0,0,6.08,28.38,0,6.76,18.24,4.05,0,0,0,6.08,31.02,51.44,10.67,30.94,5,4,4,4,2,1,67.14,39.52,67.14,0,100,18.47,0,0,100,4.46,0,0,0,100,0,3,6,0,8,0,1,1,0,1,0,0,0,1,17,4,21,0.80952381,17,0.470588235,148,21
1005,Infirmary,Delay,Role-assignment,Baseline,2,08:30pm,2,1,0.8,"Entering Infirmary there was an area with smoke and a green light that you couldnt see underneath the smoke. Then it went into an artists room that was covered in paintings. Then it went into a room with dancing ladies on tables, and someone gave us 3D glasses. From there we went through some giant spiders and into a huge spinning tube thing that we had to walk through. The inside was filled with polka dots. From there we walked down another long hallway still with lots of colors on the walls and down which then turned into a hallway that had the same black space and polka dots on the walls like from the spinning tube. Out of there was a giant cobra snake statue. Walking past that was back to the dancing ladies on the other side.",1,93.66,76.53,99,20.23,2.88,2.88,0,0,4.32,0,4.32,0,0,0.72,0.72,0,2.88,0,0,0,0,0,0,0,0,0,0,0,8.63,3.6,0,1.44,0,0,0,6.47,0,0,1.44,0,1.44,0,0,0,0.72,0,0,0,0,5.76,29.5,0,8.63,17.27,3.6,0,0,2.16,5.76,NA,-30.39,-30.23,NA,4,1,1,1,5,1,0,0,66.67,100,77.78,100,47.06,73.53,20.59,0,50,50,50,50,50,3,6,0,8,0,0,0,0,0,0,0,0,0,17,0,17,1,17,0.470588235,139,21
1005,Asylum,Delay,Role-assignment,Baseline,2,08:30pm,2,0,0.5,We walked through what seemed to be news rooms where there was a single reporter at the desk and an overhead noise of phones ringing as well as the kind of stuff you hear on movie sets like quiet on set. There was another room with a fancy woman at a backstage mirror getting ready. Around her was I think a set for a dentist commercial or some kind of commercial where there was a camera pointed towards a chair and there was a creepy surgeon or health person selling the product. ,1,93.34,53.04,67.7,35.66,1.09,1.09,0,0,11.96,0,7.61,2.17,0,0,3.26,0,5.43,0,5.43,3.26,2.17,1.09,0,1.09,1.09,0,0,0,8.7,2.17,0,0,0,0,2.17,6.52,0,0,2.17,0,0,0,1.09,0,0,0,0,0,0,2.17,16.3,0,1.09,10.87,0,4.35,0,1.09,2.17,14.68,33.84,-19.2,29.41,3,4,4,4,2,3,57.89,89.47,100,0,66.67,73.47,0,3.06,100,22.45,31.58,63.16,0,100,0,0,2,0,6,0,0,0,0,0,0,0,0,2,8,2,10,0.8,8,0.75,92,21
1005,DevilsDen,Delay,Role-assignment,Share,2,08:30pm,4,0,1,The Devil's Den had people holding hammers and tools and there were factory type machines all around. I dont remember much from the shop besides at the end there was a giant machine and we had to walk through it to continue. The staff was saying to sacrifice to the machine and the inside of the machine was horrific it was made of bodies and flesh. ,1,84.76,40.06,39.59,6.9,3.03,1.52,1.52,0,6.06,1.52,4.55,1.52,1.52,0,0,0,1.52,1.52,3.03,0,1.52,3.03,0,1.52,1.52,0,0,0,4.55,1.52,0,0,0,0,1.52,3.03,0,0,0,0,3.03,0,0,0,0,0,0,0,0,1.52,9.09,0,1.52,7.58,0,0,0,3.03,1.52,-3.16,-26.96,-13.45,30.94,2,3,2,1,4,1,0,100,40.85,100,60.56,66.07,25,100,0,50,0,100,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,1,9,1,10,0.9,8,0.75,66,21
